Date, Close/Last, Volume, Open, High, Low
2/13/2020,$164.77 ,787800,$164.58 ,$165.13 ,$163.81 
2/12/2020,$164.23 ,1048306,$164.24 ,$164.31 ,$162.68 
2/11/2020,$164.76 ,889117,$167.49 ,$167.75 ,$164.66 
2/10/2020,$167.66 ,787718,$166.86 ,$168.96 ,$166.29 
2/7/2020,$166.23 ,1004402,$165.07 ,$166.55 ,$163.51 
2/6/2020,$165.07 ,1102088,$166.03 ,$167.39 ,$164.94 
2/5/2020,$165.34 ,1882735,$163.28 ,$165.94 ,$163.27 
2/4/2020,$163.62 ,3172785,$158.78 ,$165 ,$158.48 
2/3/2020,$155.84 ,1676219,$157.65 ,$158.85 ,$154.88 
1/31/2020,$157.31 ,1769788,$156.65 ,$158.25 ,$156.51 
1/30/2020,$155.86 ,912062,$156.04 ,$156.39 ,$154.87 
1/29/2020,$155.21 ,859625,$156 ,$156.65 ,$155.15 
1/28/2020,$156.07 ,1044522,$159.17 ,$159.46 ,$156.06 
1/27/2020,$159.96 ,2502434,$160.41 ,$162.17 ,$159.96 
1/24/2020,$158.28 ,839836,$160 ,$160.96 ,$157.65 
1/23/2020,$159.07 ,693178,$159.63 ,$161.16 ,$158.55 
1/22/2020,$159.63 ,768511,$159.50 ,$160.17 ,$159.01 
1/21/2020,$159.10 ,1051846,$157.70 ,$159.15 ,$156.54 
1/17/2020,$157.70 ,718444,$157.23 ,$157.93 ,$156.73 
1/16/2020,$157.13 ,489515,$156.88 ,$157.87 ,$156.83 
1/15/2020,$156.67 ,619209,$156.25 ,$157.54 ,$156.06 
1/14/2020,$156.25 ,1166606,$155.73 ,$156.32 ,$155 
1/13/2020,$156.20 ,1064976,$153.77 ,$156.26 ,$153.35 
1/10/2020,$153.67 ,523574,$152.69 ,$154.08 ,$152.32 
1/9/2020,$152.80 ,504939,$152.23 ,$153.01 ,$151.72 
1/8/2020,$151.97 ,901226,$151.78 ,$153.34 ,$150.95 
1/7/2020,$151.52 ,1199590,$153.19 ,$153.30 ,$151.51 
1/6/2020,$153.37 ,869325,$153.07 ,$153.94 ,$152.29 
1/3/2020,$152.91 ,809816,$152.57 ,$153.88 ,$151.24 
1/2/2020,$152.61 ,1272708,$153.38 ,$153.41 ,$151.55 
12/31/2019,$153.54 ,666992,$152.73 ,$153.60 ,$152.39 
12/30/2019,$152.88 ,440737,$153.08 ,$153.45 ,$152.16 
12/27/2019,$153.53 ,447621,$153 ,$153.58 ,$152.63 
12/26/2019,$152.94 ,609402,$152.71 ,$152.95 ,$151.99 
12/24/2019,$152.48 ,205929,$151.91 ,$152.49 ,$151.43 
12/23/2019,$152.34 ,837706,$153.31 ,$153.55 ,$151.72 
12/20/2019,$152.66 ,1812402,$152.57 ,$153.64 ,$151.89 
12/19/2019,$151.48 ,547162,$149.80 ,$151.56 ,$149.50 
12/18/2019,$149.82 ,1031757,$150.02 ,$150.30 ,$148.90 
12/17/2019,$150.08 ,1006084,$151.25 ,$151.27 ,$150.06 
12/16/2019,$151.59 ,956685,$152.05 ,$152.83 ,$151.35 
12/13/2019,$151.70 ,930325,$151.63 ,$152.28 ,$150.70 
12/12/2019,$152.26 ,1027058,$152.64 ,$153 ,$151.73 
12/11/2019,$152.13 ,685447,$152.49 ,$153.38 ,$152.01 
12/10/2019,$152.43 ,1219029,$152.64 ,$153.45 ,$151.63 
12/9/2019,$152.75 ,1260574,$151.75 ,$153.13 ,$151.12 
12/6/2019,$151.86 ,1182874,$151.33 ,$153.07 ,$150.58 
12/5/2019,$150.79 ,1013966,$149.90 ,$151.02 ,$149.50 
12/4/2019,$150.30 ,702641,$147.23 ,$150.34 ,$147.23 
12/3/2019,$147.95 ,1048926,$148.64 ,$148.74 ,$146.70 
12/2/2019,$148.93 ,845730,$147.94 ,$149.07 ,$147.59 
11/29/2019,$148.23 ,427482,$149.13 ,$149.74 ,$147.78 
11/27/2019,$148.95 ,800642,$148.42 ,$149.24 ,$147.60 
11/26/2019,$148.19 ,1626109,$146.76 ,$148.33 ,$146.65 
11/25/2019,$145.25 ,861300,$146.27 ,$146.41 ,$144.90 
11/22/2019,$146.26 ,791851,$144.93 ,$146.78 ,$144.31 
11/21/2019,$145.02 ,766221,$146.37 ,$146.37 ,$144.93 
11/20/2019,$146.38 ,740370,$146.54 ,$147 ,$145.45 
11/19/2019,$146.51 ,587485,$145.85 ,$146.66 ,$145.34 
11/18/2019,$145.74 ,852434,$145.40 ,$147.39 ,$145.34 
11/15/2019,$145.30 ,908862,$145.93 ,$146.04 ,$144.38 
11/14/2019,$146.28 ,698070,$147.37 ,$147.60 ,$146.08 
11/13/2019,$147.29 ,644037,$145.74 ,$147.55 ,$145.31 
11/12/2019,$145.36 ,686669,$146.65 ,$147.39 ,$145.15 
11/11/2019,$146.88 ,612199,$147.93 ,$148.06 ,$146.70 
11/8/2019,$148 ,688959,$146.98 ,$148.13 ,$146.42 
11/7/2019,$147.02 ,872567,$147.69 ,$148.55 ,$146.51 
11/6/2019,$148.65 ,976534,$148.17 ,$149.11 ,$147.07 
11/5/2019,$147.83 ,861319,$146.56 ,$148.21 ,$146.27 
11/4/2019,$146.50 ,1068943,$146.98 ,$147.63 ,$146.02 
11/1/2019,$147.04 ,1148154,$147.33 ,$148.68 ,$146.56 
10/31/2019,$147.69 ,1839846,$152.01 ,$153.44 ,$147.43 
10/30/2019,$150.80 ,1026034,$149.85 ,$151.12 ,$149.63 
10/29/2019,$149.46 ,1256866,$149.37 ,$149.97 ,$148.27 
10/28/2019,$150.77 ,1145664,$152.14 ,$152.70 ,$150.63 
10/25/2019,$151.40 ,667732,$151.05 ,$151.76 ,$149.90 
10/24/2019,$150.76 ,732176,$150.58 ,$151.34 ,$149.81 
10/23/2019,$149.81 ,688034,$147.43 ,$149.89 ,$147.37 
10/22/2019,$148.44 ,934205,$149.29 ,$149.36 ,$147.25 
10/21/2019,$149.07 ,871705,$149.67 ,$149.70 ,$148.69 
10/18/2019,$149.70 ,582722,$149.19 ,$150.44 ,$149.19 
10/17/2019,$149.40 ,636887,$148.45 ,$150.18 ,$148.03 
10/16/2019,$148.51 ,768207,$148.78 ,$149.04 ,$146.74 
10/15/2019,$148.21 ,904870,$148.62 ,$149.29 ,$147.50 
10/14/2019,$148.72 ,605280,$150.73 ,$150.73 ,$148.54 
10/11/2019,$150.25 ,675750,$151.79 ,$151.89 ,$150.02 
10/10/2019,$150.75 ,767356,$149.96 ,$151.64 ,$149.81 
10/9/2019,$150.11 ,738745,$149.91 ,$150.66 ,$149 
10/8/2019,$149.80 ,814208,$151.53 ,$151.53 ,$149.54 
10/7/2019,$151.16 ,936925,$151.72 ,$152.90 ,$151.06 
10/4/2019,$151.38 ,1286267,$147.70 ,$151.49 ,$147.69 
10/3/2019,$147.02 ,1714232,$148.56 ,$149.94 ,$146.13 
10/2/2019,$149.35 ,2844703,$151.42 ,$152.74 ,$144.12 
10/1/2019,$151.28 ,932623,$152.44 ,$152.85 ,$151.06 
9/30/2019,$151.87 ,867282,$151.27 ,$152.47 ,$150.90 
9/27/2019,$152.68 ,932514,$151.82 ,$152.77 ,$150.79 
9/26/2019,$150.59 ,942897,$151.65 ,$151.95 ,$150.53 
9/25/2019,$150.77 ,1037283,$151.30 ,$151.83 ,$149.67 
9/24/2019,$151 ,1414608,$151.48 ,$151.64 ,$149.48 
9/23/2019,$150.23 ,1389473,$149.99 ,$152.12 ,$149.13 
9/20/2019,$151.78 ,1977781,$154.61 ,$154.61 ,$151.40 
9/19/2019,$154.21 ,1116073,$156.19 ,$156.29 ,$154.09 
9/18/2019,$155.80 ,802134,$156.68 ,$156.77 ,$154.13 
9/17/2019,$155.54 ,869927,$153.46 ,$156.26 ,$153.46 
9/16/2019,$153.77 ,1054578,$157.75 ,$158.04 ,$153.70 
9/13/2019,$158.94 ,911141,$159.54 ,$160.46 ,$157.88 
9/12/2019,$160.20 ,707816,$160.20 ,$161.03 ,$158.75 
9/11/2019,$158.93 ,892725,$156.75 ,$158.94 ,$155.28 
9/10/2019,$158.28 ,1334609,$157.22 ,$158.31 ,$155.05 
9/9/2019,$158.33 ,1490731,$161.92 ,$161.92 ,$156.26 
9/6/2019,$162.04 ,868798,$163.17 ,$163.39 ,$161.38 
9/5/2019,$162.20 ,978843,$164.90 ,$164.90 ,$161.55 
9/4/2019,$164.36 ,1196632,$162.61 ,$164.40 ,$162.11 
9/3/2019,$162.35 ,1473131,$158.07 ,$162.52 ,$157.50 
8/30/2019,$158.16 ,1096903,$159.20 ,$160.46 ,$157.58 
8/29/2019,$159.25 ,785325,$160.56 ,$160.56 ,$157.65 
8/28/2019,$159.98 ,557116,$158.83 ,$160.19 ,$158.42 
8/27/2019,$158.65 ,689313,$157.83 ,$159.44 ,$157.50 
8/26/2019,$156.96 ,669776,$156.54 ,$157.64 ,$156.03 
8/23/2019,$155.93 ,802519,$159.18 ,$159.18 ,$155.12 
8/22/2019,$159.15 ,666518,$158.53 ,$159.61 ,$157.48 
8/21/2019,$158.07 ,803901,$159.76 ,$160.03 ,$157.60 
8/20/2019,$158.98 ,1043195,$162.24 ,$162.24 ,$158.64 
8/19/2019,$162.13 ,870472,$162.29 ,$165.16 ,$160.75 
8/16/2019,$160.90 ,758964,$159.83 ,$161.18 ,$159.63 
8/15/2019,$158.95 ,829149,$158.13 ,$160.18 ,$157.99 
8/14/2019,$157.29 ,998840,$158.52 ,$160.52 ,$157.07 
8/13/2019,$158.96 ,865150,$158.80 ,$160.06 ,$158.19 
8/12/2019,$158.58 ,508524,$157.86 ,$159.17 ,$157.47 
8/9/2019,$158.27 ,567813,$159.24 ,$160 ,$157.68 
8/8/2019,$158.98 ,905379,$157.72 ,$159.53 ,$157.16 
